                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 2.3947,                 2.4458,                 1.8249,                0.35244,                0.18979,                0.17119,                0.06345,                 2.5062,                 2.5715,                 2.0842,             0.00047209,             0.00047209,             0.00047209
                     80,                 2.3829,                 2.3978,                 1.7999,                0.31854,                0.22287,                0.21814,                0.08823,                 2.4971,                  2.559,                 2.0893,             0.00046828,             0.00046828,             0.00046828
                     81,                 2.3607,                 2.3875,                 1.7991,                0.18572,                0.23801,                0.16901,                0.06285,                 2.4932,                 2.5474,                 2.0686,             0.00046448,             0.00046448,             0.00046448
                     82,                 2.3902,                 2.4179,                 1.8168,                0.32637,                0.22308,                0.17223,                0.06407,                 2.4896,                   2.56,                 2.0772,             0.00046067,             0.00046067,             0.00046067
                     83,                  2.391,                 2.4129,                 1.8084,                0.21193,                0.26546,                0.17329,                0.06323,                  2.506,                 2.5565,                 2.0648,             0.00045686,             0.00045686,             0.00045686
                     84,                 2.3915,                 2.3798,                 1.8071,                0.23349,                 0.2023,                0.16903,                0.06311,                 2.5061,                 2.5467,                 2.0811,             0.00045306,             0.00045306,             0.00045306
                     85,                 2.3668,                  2.422,                 1.7921,                0.19809,                0.22004,                0.18794,                0.06776,                 2.4892,                 2.5422,                  2.057,             0.00044925,             0.00044925,             0.00044925
                     86,                 2.3708,                 2.4035,                 1.8047,                 0.2205,                0.25303,                0.18625,                0.07219,                 2.4993,                 2.5278,                 2.0745,             0.00044544,             0.00044544,             0.00044544
                     87,                 2.3898,                 2.3959,                 1.7994,                0.22941,                0.20746,                0.17904,                0.06797,                 2.5067,                 2.5215,                 2.0803,             0.00044164,             0.00044164,             0.00044164
                     88,                 2.3687,                 2.4002,                 1.8026,                0.27923,                0.24233,                0.17379,                0.06675,                 2.5057,                 2.5618,                  2.086,             0.00043783,             0.00043783,             0.00043783
                     89,                 2.3646,                 2.3933,                 1.8103,                0.20364,                0.21357,                0.17485,                0.06409,                 2.4968,                 2.5643,                  2.073,             0.00043402,             0.00043402,             0.00043402
                     90,                 2.3568,                 2.3757,                 1.7896,                0.22586,                0.20099,                0.16877,                 0.0596,                 2.5046,                 2.5419,                 2.0818,             0.00043022,             0.00043022,             0.00043022
                     91,                 2.3546,                  2.363,                  1.783,                0.17265,                0.23171,                0.18478,                0.07287,                 2.4922,                 2.4997,                 2.0708,             0.00042641,             0.00042641,             0.00042641
                     92,                 2.3646,                 2.3472,                 1.7772,                0.28473,                0.18564,                0.17629,                0.06892,                 2.5006,                 2.5461,                 2.0653,              0.0004226,              0.0004226,              0.0004226
                     93,                 2.3523,                 2.3825,                 1.7957,                0.24228,                0.20054,                0.17557,                0.06703,                 2.4991,                 2.5306,                 2.0849,              0.0004188,              0.0004188,              0.0004188
                     94,                 2.3624,                 2.3379,                 1.7741,                0.27527,                0.24278,                0.19588,                0.07592,                 2.4914,                 2.5159,                 2.0575,             0.00041499,             0.00041499,             0.00041499
                     95,                 2.3328,                 2.3186,                 1.7536,                0.24073,                0.27786,                0.17767,                0.06943,                 2.4911,                  2.535,                 2.0764,             0.00041118,             0.00041118,             0.00041118
                     96,                 2.3521,                   2.37,                 1.7861,                0.26724,                0.25121,                 0.1825,                0.07084,                 2.4947,                 2.5302,                 2.0845,             0.00040738,             0.00040738,             0.00040738
                     97,                 2.3475,                 2.3331,                 1.7874,                0.22941,                0.22728,                0.16463,                0.06253,                 2.5095,                 2.5635,                 2.1042,             0.00040357,             0.00040357,             0.00040357
                     98,                 2.3462,                 2.3581,                 1.8028,                0.24275,                0.23295,                0.19498,                0.07544,                 2.4789,                 2.5216,                   2.07,             0.00039976,             0.00039976,             0.00039976
                     99,                 2.3427,                 2.2966,                 1.7506,                0.22557,                0.26357,                0.19395,                0.07643,                 2.5105,                 2.5136,                 2.0894,             0.00039596,             0.00039596,             0.00039596
                    100,                 2.3366,                 2.3314,                 1.7766,                0.22205,                0.23827,                0.18846,                0.07069,                 2.5074,                 2.5329,                 2.0813,             0.00039215,             0.00039215,             0.00039215
                    101,                 2.3252,                 2.2915,                 1.7538,                0.22752,                0.26241,                0.17593,                0.06801,                 2.5025,                 2.5304,                 2.0774,             0.00038835,             0.00038835,             0.00038835
                    102,                  2.318,                 2.2894,                 1.7536,                0.21628,                0.27327,                0.17646,                0.06558,                 2.5246,                 2.5184,                 2.0895,             0.00038454,             0.00038454,             0.00038454
                    103,                 2.3292,                   2.32,                 1.7732,                0.22636,                 0.2106,                0.18659,                 0.0669,                 2.5097,                 2.5113,                 2.0644,             0.00038073,             0.00038073,             0.00038073
                    104,                 2.3296,                 2.2731,                 1.7488,                0.23012,                0.26117,                0.19291,                0.07202,                 2.5135,                 2.5251,                 2.0927,             0.00037693,             0.00037693,             0.00037693
                    105,                 2.3244,                 2.2951,                 1.7648,                0.27859,                 0.2112,                0.19145,                0.07407,                 2.4972,                  2.517,                 2.0772,             0.00037312,             0.00037312,             0.00037312
                    106,                 2.3281,                 2.2966,                 1.7844,                0.22256,                0.30152,                0.18286,                0.07474,                  2.499,                 2.4976,                 2.0677,             0.00036931,             0.00036931,             0.00036931
                    107,                 2.3008,                 2.2789,                 1.7532,                0.21834,                0.28141,                0.18482,                 0.0685,                 2.5017,                 2.5225,                 2.0752,             0.00036551,             0.00036551,             0.00036551
                    108,                 2.3133,                 2.2611,                 1.7447,                0.22897,                0.33596,                0.20028,                0.07755,                 2.5167,                 2.5057,                  2.079,              0.0003617,              0.0003617,              0.0003617
                    109,                 2.3117,                 2.2817,                 1.7606,                0.23544,                0.22928,                0.18357,                0.07095,                 2.5149,                 2.5149,                 2.0939,             0.00035789,             0.00035789,             0.00035789
                    110,                 2.3156,                 2.2536,                 1.7468,                0.25185,                0.28711,                0.19557,                0.07919,                 2.5099,                 2.5091,                 2.0878,             0.00035409,             0.00035409,             0.00035409
                    111,                 2.3028,                 2.2613,                 1.7486,                0.20479,                0.28043,                0.19078,                 0.0747,                  2.517,                 2.5255,                 2.0775,             0.00035028,             0.00035028,             0.00035028
                    112,                 2.3213,                 2.2615,                  1.751,                0.27027,                0.25077,                0.19056,                0.07625,                 2.5173,                 2.4922,                 2.0812,             0.00034647,             0.00034647,             0.00034647
                    113,                 2.2813,                 2.2562,                 1.7358,                0.24134,                0.22702,                0.18614,                0.07246,                 2.5174,                 2.5336,                 2.0886,             0.00034267,             0.00034267,             0.00034267
                    114,                 2.2965,                 2.2324,                 1.7488,                0.24206,                0.26286,                0.19656,                0.07824,                 2.5177,                 2.4969,                 2.0964,             0.00033886,             0.00033886,             0.00033886
                    115,                 2.2965,                 2.2345,                 1.7545,                0.26479,                0.21336,                0.18133,                0.06695,                 2.5441,                 2.5577,                 2.1288,             0.00033505,             0.00033505,             0.00033505
                    116,                 2.3036,                  2.246,                 1.7324,                0.27626,                0.25526,                0.19307,                0.07433,                 2.5128,                 2.5059,                 2.0977,             0.00033125,             0.00033125,             0.00033125
                    117,                 2.3046,                 2.2205,                 1.7277,                0.23333,                0.24604,                 0.1938,                0.07775,                 2.5278,                 2.4955,                 2.1004,             0.00032744,             0.00032744,             0.00032744
                    118,                 2.2863,                  2.223,                 1.7245,                0.31375,                0.24877,                0.19878,                0.07842,                 2.5139,                 2.5255,                 2.1006,             0.00032363,             0.00032363,             0.00032363
                    119,                 2.2904,                 2.2396,                 1.7348,                0.24565,                0.26771,                0.19348,                0.07691,                 2.5347,                  2.508,                 2.1088,             0.00031983,             0.00031983,             0.00031983
                    120,                 2.2673,                 2.2206,                  1.731,                0.24236,                0.25786,                0.18649,                0.07429,                 2.5345,                 2.5149,                 2.1143,             0.00031602,             0.00031602,             0.00031602
                    121,                 2.2817,                 2.2043,                 1.7157,                0.22292,                0.25675,                0.20704,                 0.0837,                 2.5301,                 2.4933,                  2.102,             0.00031221,             0.00031221,             0.00031221
                    122,                 2.2794,                 2.2219,                 1.7397,                0.27335,                0.25369,                0.20088,                0.08132,                 2.5387,                  2.495,                 2.0999,             0.00030841,             0.00030841,             0.00030841
                    123,                 2.2744,                 2.2026,                 1.7266,                0.29695,                0.23219,                0.19434,                0.07923,                 2.5342,                 2.4937,                 2.1131,              0.0003046,              0.0003046,              0.0003046
                    124,                 2.2705,                  2.178,                 1.7144,                 0.2699,                0.26607,                0.20886,                0.08751,                 2.5237,                 2.4906,                 2.1108,             0.00030079,             0.00030079,             0.00030079
                    125,                 2.2838,                 2.2033,                  1.723,                0.25085,                0.26743,                0.20538,                0.07903,                 2.5303,                 2.4928,                 2.0969,             0.00029699,             0.00029699,             0.00029699
                    126,                 2.2651,                 2.2031,                 1.7288,                0.27135,                0.26074,                0.19827,                0.07634,                 2.5327,                 2.4914,                 2.1066,             0.00029318,             0.00029318,             0.00029318
                    127,                 2.2694,                 2.1671,                 1.6964,                0.25804,                0.27266,                0.22731,                0.09646,                 2.5419,                 2.4967,                  2.118,             0.00028937,             0.00028937,             0.00028937
                    128,                 2.2475,                 2.1802,                  1.707,                0.30029,                0.26466,                0.22858,                0.10097,                 2.5426,                  2.501,                 2.1033,             0.00028557,             0.00028557,             0.00028557
                    129,                 2.2518,                 2.1764,                 1.6966,                0.25665,                0.27893,                0.21196,                0.08946,                 2.5332,                 2.4962,                 2.1029,             0.00028176,             0.00028176,             0.00028176
                    130,                 2.2517,                 2.1791,                 1.7154,                0.23826,                0.32748,                0.19723,                0.07404,                 2.5292,                   2.52,                 2.1149,             0.00027796,             0.00027796,             0.00027796
                    131,                 2.2591,                 2.1507,                 1.7043,                0.29386,                0.25525,                 0.2059,                 0.0833,                  2.539,                 2.5007,                 2.1086,             0.00027415,             0.00027415,             0.00027415
                    132,                 2.2719,                 2.1658,                 1.7108,                0.26526,                0.25942,                 0.2072,                0.08497,                 2.5356,                 2.4966,                 2.1074,             0.00027034,             0.00027034,             0.00027034
                    133,                  2.237,                 2.1467,                 1.7083,                0.29182,                0.26068,                  0.211,                0.08291,                 2.5501,                 2.4987,                 2.1259,             0.00026654,             0.00026654,             0.00026654
                    134,                  2.247,                 2.1791,                 1.7214,                0.22233,                0.28421,                0.19692,                0.07504,                 2.5357,                 2.5052,                  2.113,             0.00026273,             0.00026273,             0.00026273
                    135,                 2.2315,                 2.1372,                 1.6954,                0.27919,                0.25158,                0.19661,                0.07341,                 2.5354,                 2.4953,                 2.1265,             0.00025892,             0.00025892,             0.00025892
                    136,                 2.2533,                 2.1522,                 1.7048,                0.29912,                0.24795,                0.20525,                0.08116,                 2.5375,                 2.4923,                 2.1264,             0.00025512,             0.00025512,             0.00025512
                    137,                 2.2529,                 2.1394,                 1.6987,                0.30209,                 0.2559,                0.20514,                0.07606,                 2.5437,                 2.4914,                 2.1169,             0.00025131,             0.00025131,             0.00025131
                    138,                 2.2331,                 2.1311,                  1.699,                0.26196,                0.27097,                0.20361,                0.08532,                 2.5591,                 2.4927,                  2.135,              0.0002475,              0.0002475,              0.0002475
                    139,                 2.2303,                 2.1027,                 1.6928,                0.29545,                0.25495,                0.19943,                0.08175,                 2.5621,                 2.4896,                 2.1237,              0.0002437,              0.0002437,              0.0002437
                    140,                 2.2423,                 2.1263,                 1.6908,                0.26369,                0.27618,                0.20476,                0.08223,                 2.5502,                 2.4895,                 2.1383,             0.00023989,             0.00023989,             0.00023989
                    141,                 2.2441,                 2.1496,                 1.7044,                0.27649,                 0.2589,                 0.2016,                0.08171,                 2.5421,                 2.5048,                 2.1238,             0.00023608,             0.00023608,             0.00023608
                    142,                 2.2181,                 2.1299,                 1.6926,                0.24792,                0.24471,                0.19639,                0.07696,                  2.562,                 2.5094,                 2.1413,             0.00023228,             0.00023228,             0.00023228
                    143,                 2.2155,                 2.1037,                 1.6838,                0.28963,                 0.2457,                0.19714,                  0.077,                 2.5518,                 2.4944,                 2.1355,             0.00022847,             0.00022847,             0.00022847
